Command,Nodes,Flows,Area,Sent Packets,Dropped Packets,Received Packets,Throughput,Average Delay,Delivery Ratio,Drop Ratio
ns mysim.tcl -nn 20 -nf 20 -side 500,20,20,500 x 500,7760 , 2393 , 5364 , 440361 , 0.362715 , 0.691237 , 0.308376
ns mysim.tcl -nn 40 -nf 20 -side 500,40,20,500 x 500,7760 , 1496 , 6260 , 510584 , 0.278759 , 0.806701 , 0.192784
ns mysim.tcl -nn 60 -nf 20 -side 500,60,20,500 x 500,7760 , 2335 , 5424 , 443950 , 0.361733 , 0.698969 , 0.300902
ns mysim.tcl -nn 80 -nf 20 -side 500,80,20,500 x 500,7760 , 5257 , 2502 , 208480 , 0.950967 , 0.322423 , 0.677448
ns mysim.tcl -nn 100 -nf 20 -side 500,100,20,500 x 500,7760 , 6990 , 764 , 65210.2 , 3.14139 , 0.0984536 , 0.900773
ns mysim.tcl -nn 40 -nf 10 -side 500,40,10,500 x 500,3880 , 17 , 3862 , 311588 , 0.120671 , 0.995361 , 0.00438144
ns mysim.tcl -nn 40 -nf 20 -side 500,40,20,500 x 500,7760 , 2209 , 5550 , 454738 , 0.33298 , 0.715206 , 0.284665
ns mysim.tcl -nn 40 -nf 30 -side 500,40,30,500 x 500,11640 , 8392 , 3245 , 266129 , 0.777455 , 0.27878 , 0.720962
ns mysim.tcl -nn 40 -nf 40 -side 500,40,40,500 x 500,15520 , 12764 , 2746 , 226600 , 1.08271 , 0.176933 , 0.822423
ns mysim.tcl -nn 40 -nf 50 -side 500,40,50,500 x 500,19400 , 17752 , 1628 , 133939 , 1.77425 , 0.0839175 , 0.915052
ns mysim.tcl -nn 40 -nf 20 -side 250,40,20,250 x 250,7760 , 432 , 7327 , 592333 , 0.156237 , 0.944201 , 0.0556701
ns mysim.tcl -nn 40 -nf 20 -side 500,40,20,500 x 500,7760 , 2492 , 5267 , 431055 , 0.390035 , 0.678737 , 0.321134
ns mysim.tcl -nn 40 -nf 20 -side 750,40,20,750 x 750,7760 , 5754 , 2000 , 168134 , 1.53794 , 0.257732 , 0.741495
ns mysim.tcl -nn 40 -nf 20 -side 1000,40,20,1000 x 1000,7760 , 4728 , 3030 , 251286 , 0.948605 , 0.390464 , 0.609278
ns mysim.tcl -nn 40 -nf 20 -side 1250,40,20,1250 x 1250,7760 , 5986 , 1771 , 142892 , 0.0672278 , 0.228222 , 0.771392
